text_segment,calculated_level
這個小小的第三者，似乎一生下來就得到父母的鍾愛，在她噘著小嘴唇甜蜜睡覺的時候，在她睜開烏黑的眼睛凝視燈光的時候，在我們發現她臉上有顆小黑痣的時候，那種生活的溫馨！但是她也給我們帶來現實的生活問題。她的小被窩裡好像有一部小印刷機，印出一份一份淺黃深黃潮溼溫和的尿布。我們一份一份接下來，往臉盆裡扔。因此，阿釧的眉頭皺了，阿釧的胳臂酸了，阿釧的脾氣壞了。她的印刷機使我們的臨時佣人吃不消了。,2
我們的臥室開始有釘鎚的響聲，鐵絲安裝起來了，一道，兩道，三道，四道，五道，六道。她的尿布像一幅一幅雨中的軍旗，聲勢浩大的掛滿一屋。我們在尿布底下彎腰走路。鄰居的小女孩來拜訪新妹妹，一擡頭瞧見那空中的迷魂陣，就高興得忘了來我家的目的。書桌的領空也讓出去了，我這近視的寫稿人，常常一個標點點在水上，那就是頭上尿布的成績。一切都在改變，而且改變得那麼快。我們從前那種兩部車子出門，,2
兩部車子回家的公務員生活樂趣被破壞了，但是我們卻從另一方面得到了補償。我們可以捏捏嬰兒的小手，像跟童話裡的仙子寒暄，可以撫摸她細柔漆黑的髮絲，可以看她在澡盆裡踩水像一個小青蛙，可以在她身上聞到嬰兒所專有的奶香味，在她那一張甜美的小臉兒前面，誰還去回憶從前的舊樂趣？這小嬰兒會打鼾，小嗓子眼兒裡咕嚕咕嚕響。她吃足了奶會打嗝，會伸個懶腰打呵欠，還會打噴嚏。我們放在床頭的育嬰書上說這一切都是正常的。,2
我們享受她給我們的一切聲音，這聲音使我們的房間格外溫暖。我們偷看她安靜時候臉上的表情，這表情沒有一絲愁苦的樣子。她佔用我們的半張床，但是我們多麼願意退讓。她使我們半夜失眠，日間疲憊不堪。我們卻覺得這是人間最快樂的痛苦，最甜蜜的折磨，但願不分晝夜，永遠緊擁她在懷裡！窗外冷風淒淒，雨聲淅瀝，世界是這麼潮溼陰冷，我們曾經苦苦的盼望著太陽。但是現在，我們忘了窗外的世界，因為我們有我們自己的小太陽了。,2
小太陽不怕天上雲朵的遮掩，小太陽能透過雨絲，透過尿布的迷魂陣，透過愁苦靈魂堅硬的外殻，暖烘烘照射著我們的心。我多麼願意這麼說：我們的小太陽不是我們生活的負擔，她是我們人生途中第一個最惹人喜愛的友伴！,2
對於一年生的草本植物而言，秋天是全力盛裝正視死亡的美麗季節。秋天的雲最短暫，秋天的欲望最少，秋天最接近死亡，秋天是生命覺醒和改變的最佳季節；所以秋天一點也不憂鬰，秋天無歡亦無悲，清明爽朗。秋天的聲音細緻內歛，難以傾聽。漢人曆法中九月是秋天的開端，正是西南海岸的平埔族釋放向魂的開向祭舉行之際；所謂向魂指的是大地上一切的魂靈。西拉雅人以月亮的陰晴圓缺謹記奉祀祖先阿立的儀式要月月遵行，永傳後世。,3
西拉雅人以身體髮膚的感受和眼觀萬物遞嬗輪替來判斷節氣與四季的律動。因此安慰向魂的祭典舉行之際，雖已是漢人曆法中白露之後，霜降之前的秋分，在古稱倒風內海的西南海岸野原上仍是獵鹿人赤身裸體的夏季，暑氣依舊逼人。只有敏感的伊尼卜司（女巫）必細心注意節氣的變化，在早晨的露水漸漸增多轉寒之後，直到降霜於田野之前的那段陰晴圓缺，便是決定安慰向魂的時機了。記得將壼中鎮壓向魂的伊尼青葉（澤蘭）從向水裡拿開，,3
釋放被禁閉整個春夏的魂靈們回到世間優游。魂靈們在秋天群起回到世間優游的聲音我們聽不見，那是生命死亡後的聲音。生命發生的聲音有些是聽不見卻看得見的，某些聲音可以在心中滋長，甚至變得很喧囂，耳畔卻沒有任何聲響；只有西拉雅的女巫聽得見向魂渴望秋天的聲音吧！相信魂靈們繼續在世間遊蕩的聲音從來不曾離去，西拉雅人於田野上響起的賽戲祭歌在秋天卻逐漸消失了！,2
我們在臺灣古文獻上聽見的獵鹿人奔馳在疏林草原的聲音已成絕響！看見的秋日祭歌已經不在公廨廣場上回盪悠揚！西拉雅人知道，秋日草野的氣息真正來臨是從霜降之後，粟米成熟的那個月圓之夜；在那一夜要舉行祖先阿立誕辰的狂歡夜祭；粟米總在夏天拼命成長，秋天收成。從夜祭之後便是真正的秋天了！那是漢人曆法小雪以後的十月十五日，草木開始枯黃蕭瑟，鹿群必須集體遷移南下，尋找尚未枯死的青草與耐寒的新葉，也是獵人們群集出動，,3
在草野上圍獵鹿群的時節。那是四百年前的秋天臺灣原野典型的聲音：鹿群踏動大地，獵人放火燎原。野火吞沒枯黃草木的猛暴巨響，已經驅趕驚惶奔走的鹿群從草原深處竄出，迎面撞上狂呼吶喊，手持標槍的獵人許多世代了；數百年前秋天原野上的生態一直維持如此生與死的平衡；草原靠大火重生，卸去枯死的屍體，待明年春雨後新生，鹿群需要新生的草原，而放火的獵人需要繁衍不斷的鹿群；直到漢人入侵將疏林草原開墾，,3
這些聲音變得久遠而不再響起。,3
"春節
「春節」一般俗稱為「新年」或「過年」。春節以農曆正月初一到初五這段期間最能感受到濃厚的年節氣氛。農曆12月最後1日除夕夜闔家會一起「圍爐」吃年夜飯，有幾樣菜是必吃的，如「長年菜」代表長壽、「菜頭」代表好彩頭、「魚」代表年年有餘、「鳳梨」代表好運旺來。吃完年夜飯後，長輩會發給小朋友紅包袋（壓歲錢），討吉利、祈求平安的意思。「守歲」在民間含有祈求父母長壽之意，通常從家人齊聚吃年夜飯開始，",3
直至午夜12點一到，燃放鞭炮歡慶新年到來，對過去一年的感懷及對未來一年新的期望。除此之外，春節的習俗還包括大年初一拜年、初二已出嫁的女兒回娘家、初四迎財神、初五開市、初九拜天公（玉皇大帝）等。,3
不再想著電視上的頑皮豹，尾巴為何那麼長？那隻大笨貓，為何老是捉不著小老鼠？不再用童話故事堆砌成一座城堡，日日耽心王子會娶別人；也不再苦惱那枚紅蘋果會不會有毒。不再推著糖菓車遊行，不再妄想乘坐風箏飛上天，更不會再要小狗叫我媽咪，不再偷吃口紅，亂綑領帶——只要我長大。只要我長大，我會大口大口地吞飯，不再拿去塗牆造屋，還餵蜘蛛；只要我長大，絕不率兵進攻螞蟻窩，生擒女王蜂；只要我長大，,3
一定會把蚊子驅逐出境，不請它們到家裏來睡覺；只要我長大，再也不把魚缸裏的小蝌蚪當作海豚般訓練；只要我長大，絕不再到澡缸裏游泳；只要我長大，不會再要求大老鷹載我翱翔蒼穹。媽媽說：長大了才可以穿高根鞋，當新娘子；爸爸說：長大了才可以開跑車、喝酒；奶奶說：長大了才可以賺錢，一個人睡覺；公公說：長大了才可以到國外唸書，並且有身份證；老師說：長大了才有力量去打共匪回大陸。所以我要快快地長大。,2
可是我為什麼還沒有完全長大呢？過去像一段繽紛、無邪的電影，來不及看清楚，就給膠卷一卷卷地捲走，曾經，我握著大把大把的爆玉米花，也想跟別人肩比肩排隊看電影，可是他們卻說：小孩子看不懂啊！偶而我也想發表一些感言，大人們卻說：小孩子不要插嘴。哎！上帝！上帝！如果您有知，保佑我快長大。只要我長大，就可以明瞭蒼穹之下，人心不平的原因；只要我長大，不但能控制我的眼淚，還能知道在挑戰中不要輕言投降；只要我長大，,2
我人生的路，就能超越逝去的時光，飛躍到永恆。只要我長大，不管遭受到光陰如何的暗蝕，明天我還是要繼續成長。,3
"客家節慶
客家桐花祭
每年春夏交替之際，臺灣彰化以北山區、東部的花蓮、臺東，到處都可以欣賞到油桐花滿山遍布的雪白美景，尤其是桃園、新竹、苗栗一帶客家庄，四、五月更是白雪紛飛，形成臺灣最美的風景。桐花祭以雪白桐花為意象，傳遞客家人敬天地、重山林之傳統，更以桐花、山林之美為表，客家文化、歷史人文為核心，展現客家絕代風華。油桐強韌的生命力，恰如節儉且堅毅的客家人。每年桐花祭期間，",3
處處可見全家悠遊賞桐花的歡樂畫面。,4
"芋圓
臺中市大甲區和高雄市甲仙區所出產的檳榔心芋是臺灣最著名的芋頭。大甲區的芋頭質鬆、味香，有彈性；甲仙區的芋頭含水份低、凝粉質較高，吃起來鬆脆爽口。除了作成鹹食外，芋頭也經常被作成糕餅點心，芋圓就是臺灣常見的小吃甜點。",2
"﻿我撥了撥哥哥的尾巴，傍晚橘黃色的夕陽穿過樹洞的縫隙，照在黃黑相間的尾巴上，真
美。「哥哥起床啦，我肚子餓了。」我愛吃小田鼠或青蛙，哥哥喜歡魚或是鴿子。
「走，我們邊走邊看。」哥哥一邊說，一邊敏捷的鑽出樹洞，朝山坡跑過去，我趕緊跟上去。跑哇跑，經過竹林，穿過田野，路過農舍，一不小心，我差點撞上突然停下來的哥哥。原本起起伏伏、蒼翠的山坡，出現了一條筆直的灰色區塊。忽然，一道巨大的黑影閃過眼前，",3
"我嚇得往後跳，這是什麼？竟然跑得比哥哥還快。「妹妹，你在這裡等我，我去找食物給你吃。」哥哥頭也不回的向前跑，消失在黑暗中。
不知道過了多久，我環顧四周，黑夜來臨，連星星都黯淡無光。咕嚕咕嚕，肚子又叫了。哥哥到哪去了？我仔細的跟著哥哥的腳印，來到一戶農舍。
這時，傳來一陣人們的驚呼，農舍主人抱出一個籠子。是哥哥！一群人圍著主人。原來哥哥是因為迷路，而被農舍主人帶回去了。我偷偷的跟著，那群人到了溪邊，",2
"檢查哥哥有沒有受傷，並給哥哥吃小老鼠跟魚，就放走他了。
「哥，我們回家吧！」我悄悄的說。哥哥又驚又喜的看著我，帶我快步穿越長長的通道，回到我們住的樹洞。哥哥告訴我，那群人說：「石虎和我們一樣，都是大自然的孩子。」這句話到現在還一直迴盪在我的耳邊……。",2
"﻿我總以為，從臺北前往花蓮的鐵路，是我生平中所見過最美麗的一段鐵路。
在短短兩、三個小時的車程裡，這段鐵路不但歷經了現代化的大城市、山中的市鎮、沿海的小
城，還穿越了雄偉壯麗的山脈，更擁著一望無際的藍色太平洋一路隨行。每當我一搭上東海岸火車，隨著窗外景色的變化，我的心情便忍不住明亮而輕鬆起來。
火車一離開松山站，漸漸告別了城市中密密麻麻的樓房，進入東北角一帶的山巒。我特別喜歡這一帶的小火車站，",3
"它們距離城市並不遠，卻因地形的天然屏障，全無一點喧鬧氣味，總是靜靜的沉睡在山谷之間。火車行經瑞芳、猴硐、三貂嶺、牡丹、雙溪……這些古意的站名，散發出歷史悠久的神祕感。
順著鐵路線，火車穿越東北角山區，我不僅喜愛沿途的自然美景，更愛它散發出來的生活氣息。山谷處，少少的屋舍簇擁在一起，屋外環繞著一塊塊菜圃、果園、絲瓜藤架，白鷺鷥成群停在田地中央，張開翅膀，以不疾不徐的姿態，翱翔在半空之中。",3
"這裡的一切人、事與景物，都是如此的寧靜與和諧。
火車再繼續前行，過了福隆站，一望無際的太平洋乍現在眼前。那鐵軌距離大海如此之近，人坐在車裡，可以呼吸到海洋新鮮的氣息。再往前行，過了宜蘭、蘇澳，一出隧道口，陽光便會嘩的一聲潑灑撒下來，一瞬間，夏天的蔚藍海洋迎面而來，綻放出閃耀的金光。花蓮的太平洋彷彿都是夏天的，白色的海浪捲動著光潔的鵝卵石，發出了嘩啦啦的聲響，讓人想起了孩子們天真的歡唱。
來到花蓮，",3
"不僅海洋壯闊、澎湃，就連山巒，也展現出中央山脈雄偉的氣勢。我往往得仰起脖子，將臉貼到火車窗戶的玻璃上，才能夠看見山壁的頂端。左邊是海，右邊是山，這是一條被山與海所護衛著的鐵道。而雲霧從山腰之處緩緩升起，或是從空中緩緩飄降，最後停在半山腰上。
曾經，我躺在七星潭的海灘，望向清水斷崖，頭頂上方是藍到發白的天空，而花蓮的軍用機場就在不遠處。天空中，偶爾有戰鬥機起降，當機身緊貼著海水上方掠過之時，",3
"整個空氣都為之轟隆震動，朝向四面八方碎裂開來，我閉著眼睛，感受身體在山與海的交響之下也隨之顫抖。
當太陽落下，天色漸漸昏暗，黑夜悄悄的覆蓋了大地，月亮高掛在空中，在太平洋上形成了一道潔白的光帶。火車仍不止息的在山與海的中間追逐著，低吟著，日以繼夜，夜以繼日，就在島嶼邊緣的一條最美麗的鐵路之上。",3
"﻿有了父親的肯定，王獻之更加努力練習，但是寫來寫去，卻好像有一面牆擋在前頭，沒什麼進步。
這一天，王獻之跑去問父親，想把字練好，是不是有什麼祕訣？王羲之笑了笑，指著屋外的十八口水缸說：「祕訣藏在裡頭，你把水寫完就知道了。」
為了找出寫字的祕訣，王獻之早也練，晚也練，不管是橫、豎、點……每個字的筆畫，他都用心的學習。寫了兩年後，他把字拿給母親看，母親說：「有點樣子了。」
寫了兩年才有點樣子？",2
"王獻之不服氣，埋頭再練兩年。兩年下來，他覺得自己的字已經寫得和父親一模一樣。他感到非常興奮，於是把最得意的一疊字捧給母親看。母親把那些字一張張看過，最後將視線停在一個字上：「『太』字底下的這一點，倒是有你父親寫字的味道了。」
「那一點啊……。」王獻之好難過。
「怎麼了？」
「剛才我寫字時，父親走進來，發現我的『大』字沒寫好，所以示範加了那一點。」
王獻之服氣了，下定決心苦練書法。幾年後，",2
"大家都讚美他寫的字和父親一樣好，還問他：「你是怎麼做到的呢？」
「等你們寫完十八缸水就知道了。」王獻之微微笑。",2
那天在外婆盛大的生日宴上，聚集在一塊兒的親朋好友，天南地北地閒聊著，每個人都是口沫橫飛，誰也顧不得別人。美味可口的佳餚，一道一道地端上來，又原封不動地端了回去。我正百般無奈地，瞪視著一張張因誇張而扭曲的臉孔，敲弄著桌前的湯匙，這單調的碰擊聲，卻似乎成了這屋裏唯一有規律的節奏；忽見兩條身影，極為困難地鑽過人潮，氣吁吁地站在我面前——六歲的表妹和五歲的表弟。表妹遞給我一張不知由那兒撿來的紙，,3
用她小女孩嬌憨的聲音在我耳邊說：姊，幫我疊一架飛機好不好？弟弟說他會開飛機，他要帶我去看可以變成冰淇淋樣的白雲，還有小雨的家！多可愛的話語啊！他們渾然不覺身旁的吵鬧，能在一個喧嘩的環境中，尋到屬於自己的小世界，任思想遨遊於時空。當我把飛機給她時，她帶著它又飛快地鑽走了，再一次擠過那擁擠的人群，彷彿真的到那澄藍的天際翱翔去了。我仍一個人坐在那兒，眼前依然呈現著人潮洶湧的盛況，但我的心，,2
卻因剛才那一幕，而泛起一陣柔柔甜甜的暖意。其實，人的本性都是善良而純真的，卻因長年身在世俗之中，缺乏定力，總是失去了昔日的歡笑，代之的，是一份無奈的世故。因此，再也沒有人會為路旁的小花歌詠和讚嘆，再也沒有人願意誠心去愛與關懷。世界，終將失去原有的單純與可愛，絢爛的光彩，亦終將消逝於混濁的天空。多可悲的笑話啊！怪的是：這笑話竟流行於整個宇宙，並且，正熱烈在上映之中。其實，朋友！只要你願意，,3
願意以童稚來裝扮自己，那，世界依舊是燦爛美麗的，天空依舊是晴朗光明的。,3
我是雨水，今年春天，我來到人間很久，我知道很多小朋友看到我就很頭痛；但是等我來了，那大自然的面貌才會更清新，草木的生長才會更繁茂，而且農田裏的稻子才會不缺水。我知道雨天小朋友都要穿雨衣，或者打雨傘，走路或者坐公車都不方便，甚至有些沒公德心的機車騎士還會濺得小朋友一身泥水，所以不免有很多小朋友會說：可惡的雨！為什麼還不停呢？我看得出來你們生氣而沒有笑容的臉，我的心裏也很難過，,2
然而這是受氣候影響的關係。我希望帶給人間的是活力和歡笑。所以你們遠足的時候，我不去找你們。你們上體育課的時候，我只會偷偷的躲在烏雲背後。有時候，我突然的在下課時出現了，你們卻會快樂的大叫：下雨了，下雨了！有的小朋友還會跑到大操場上說：我不怕雨。那時候的我感到真驕傲，我就輕輕的落在你們的髮上、臉上、衣服上，再悄悄的跟隨你們回家。沒有入學的小弟弟、小妹妹同樣喜歡我，他們打着大人用的傘，,2
穿着大人穿的雨鞋，走到雨裏說：天天下雨多麼好玩呀！我當然跟所有的小朋友有友誼，但卻不喜歡小朋友淋成落湯雞，如果生了病，不能上課，那就很可惜了。坐公車的時候，又潮濕又窒悶，大家關起窗子來防我，連可愛的微風也不要了，我知道你回家以後，鞋子一定溼了，雙腳浸了水很不舒服，而媽媽也會苦着臉說：明天要穿什麼鞋子呢？其實媽媽還有很多的苦惱和埋怨，你們換洗的內衣和制服也不容易乾啊！等到第二天，,2
你們又在教室的走廊看到我了。你們的眼裏充滿着敵意。操場上是一片汪汪的積水，靜靜的；沒人去上面奔跑、跳躍。小朋友！我只能說：請你們留在教室多看一點課外書，或者和同學談談生活裏的事，要不然找一角踢踢毽子，儘量保持衣服的乾燥。我畢竟是要離開的；你們不要煩，聽說出外旅遊的陽光快要回來了，你們等着迎接它吧！在我沒走之前，也希望你們發現我沖走生活環境中不少的污穢；而不久，卻會帶給你們一個美麗煥發的校園。,2
晴天和陰天是兩個不同的世界：一個撲上了陽光的金粉，燦盈盈的，充滿了笑意；另一個則因為失去了這種恩賜而黯淡無光。天地也是需要粧扮的，真正美麗的事物總平添一份輕快自信，而除了陽光，誰能有這份能力，為天地間一切敷上一層自然薄細的彩飾呢？陽光之所以成為最好、最偉大的化粧師，是因為它總隨身攜帶一個金粉圓盒，裡面盛裝著最華麗神奇的金粉。在每一個晴天，它便多情地旋開盒蓋，捻起粉撲，東邊沾沾，西邊抹抹；,3
把雲影梳理成最柔軟潔淨的白，把草坪打點成最舒適搶眼的綠，甚至連最陰暗狹窄的陋巷死角，也都因為它的殷殷照拂，而開始透露出一點生機。於是，在有陽光的日子，當你走出家門，心情開朗成天空那樣深邃透明的水藍，你便會有一種美好的錯覺，以為所有的醜陋和罪惡實際上都是不存在的。這不是欺騙，而是一種恩澤；生活在如此擾攘巧詐的世界裡，能有這樣的錯覺、能對世界懷抱如此的信心，畢竟不是壞事。而實際上，,3
日之金粉也從來不曾隱藏掩飾什麼，它只是莊嚴地美化了這個世界，以它博大無盡的永恆之愛，觸動我們的靈感，引發了我們對世界、對人生，甚至對它的愛而已。日之金粉，完全不同於塗抹在人類雙頰的廉價脂粉，它永遠均勻公平地撲灑在大地之上；在許多崇尚光明之人的心目中，日之金粉所帶來的，不只是美麗，更是智慧和清醒。最卑微脆弱的小草，都會因為接受到這一份真誠無欺的溫暖，而抬起它快樂自信感恩的頭。至於人呢？,3
我不能相信一個在照人眼明的陽光之下的人，還會躲在人性的陰影裡，製造卑劣可鄙的念頭。隨著日之金粉所灑佈下來的澄明，天地間處處充滿了蓬勃的啟發，人對自己的善良，似乎也較易有更多的自覺與體認，因此，對於人，對整個世界來說，日之金粉恆是一種無與倫比的恩澤。,3
"﻿從前有一個鞋匠，住在一間破舊的小屋子裡。他一天到晚給人家修補皮鞋，工作非常辛苦。但是他並不難過，因為他有一個清脆動聽的歌喉，工作的時候，可以自由自在的唱歌。
鞋匠的歌聲非常動聽，鄰居們每天做工都很辛苦，但是一聽到他的歌聲，就會忘掉疲勞，振作起精神來。鄰居們都很喜歡鞋匠。每天早上，鞋匠一唱歌，就像給鄰居們打開收音機，他們臉上都露出了笑容。
在鞋鋪的附近，住著一個富翁。那富翁是個懶人，",2
"每天早上要睡到十點多鐘才肯起來。
鞋匠的歌聲，吵得他不能睡覺，使他心裡很厭煩，可是又不好意思禁止鞋匠唱歌。
有一天，富翁叫人去把鞋匠找來，對他說：「我給你一千塊錢，請你以後別再唱歌，好不好？」鞋匠心裡想，他一個月辛辛苦苦給人修理破鞋，也不一定能賺到一千塊錢。不唱歌又有什麼關係？不唱就不唱。所以他馬上答應了富翁的條件，高高興興的帶著錢回家了。他一遍又一遍的數著那一千塊錢，不知道應該放在哪裡比較妥當。",2
"晚上睡覺的時候，就把錢塞在枕頭底下，還擔心夜裡有人來偷，一夜都沒睡好。
鞋匠第二天早上起床，覺得渾身痠痛，一雙手軟軟的，連榔頭都懶得去拿。他心裡覺得煩，可是又不敢唱歌。他覺得時間過得也變慢了，一天就好像有一年那麼長。這實在太讓人苦惱了。
最後，他下了很大的決心，在傍晚的時候，帶著那一千塊錢到富翁的家裡去，他說：
「先生，很對不起，我還是把一千塊錢還給您吧！這些錢讓我心裡不安，夜晚睡不著覺，",2
"白天唱不了歌。」說完話，趕快放下錢，轉身就跑了。
鞋匠回到家裡，覺得心情輕鬆多了，忍不住又唱起歌來。從此以後，他每天又像從前一
樣，快快樂樂的修理皮鞋，再也不為錢提心弔膽了。",2
"﻿從前有一個窮苦的農夫，一天在鎮上的小茶館門口被一個算命先生喊住了。那算命先生說：「鄉下人，你的相貌很好，運氣也不錯，最近就要發大財了。」農夫說：「能發財就好了。像我這樣命苦的人，真應該發發財才對呀！你倒告訴我，應該怎麼做才能發大財？」
算命先生說：「只要你答應把得到的錢財分給我一半，我就告訴你。」農夫笑著說：「可以，可以，只要有錢，分一半就分一半。",2
"」算命先生低聲在他耳朵旁邊說：「這個月裡財神爺要送一缸黃金到你家去。」農夫聽了心裡很高興，嘴裡說：「別開玩笑了！」算命先生正經八擺的說：「誰騙你誰不是人，只是你別忘了分給我一半錢財就好。」說著，又進茶館喝茶去了。
農夫自從聽了算命先生的話以後，索性連地也不種，整天守在家裡等著財神爺送那缸黃金來。一天，兩天，沒消息！一個月，兩個月都過去了，哪裡有什麼黃金送來！農夫覺得受了騙，一生氣就氣死了。",2
據說農夫死後到了陰間，向閻王爺告狀，說算命先生欺騙他，害他活活的氣死。閻王爺聽了，把桌子一拍，罵他：「你這個懶鬼，誰騙了你啦？那算命先生就是財神爺的化身，當天就把一缸黃金送到你那一塊小小的園地，淺淺的蓋上一層土。因為你只有這麼一塊地，以為你每天總要到那裡耕種，一會兒就發現了。沒想到你只知道在家裡睡覺，連鋤頭也不拿了！哼，像你這樣的人，也敢想發財，那麼天底下人人都應該發財了。好，,2
"這一次我可要重重的處罰你。我要叫你再回到人間去，變成一條牛，耕一輩子地！」
閻王爺說完，拿筆向他一指，他就回到人間了。不過這一次，他卻是一條勞苦的牛了。",2
"﻿下雨的時候，我喜歡站在窗口，欣賞外面的雨景。遠方的山，好像披著一件輕紗。溼答答的馬路上，車子來來往往，車燈就像天上一閃一閃的星星。行人撐起了各式各樣的雨傘，路上開滿了一朵朵五顏六色的傘花。
下雨的時候，我喜歡在屋簷下玩水。雨下得小，水順著屋簷一滴一滴的落下，發出「滴、滴、答、答」的聲音，好像在說著長長的故事。雨變大了，水就像一條銀色的長線，從屋頂垂掛下來。我伸手去接，",2
"一股清涼的感覺從手心傳到全身，真是舒服。
下雨的時候，我喜歡撐著雨傘到外面走走。我看到綠綠的青草被雨洗得亮亮的，空氣中有一股清新的味道。山坡上有一大片的黃色小花，金黃的花朵好像一隻隻黃蝴蝶，風輕輕的吹著，那些「黃蝴蝶」拍動著翅膀，好像送來了淡淡的花香。
下雨的時候，我總是特別想念鄉下的表哥，那時我們常穿著雨衣和雨鞋探險。雨水把泥巴路變得軟軟的，每踩一步，鞋子就會陷進裡面。雨越下越大，",2
屋前的水溝滿起來了，我們連忙摺出彩色的紙船，看著紙船順著水流，慢慢的往遠方流去，直到再也看不到......。,3
"擔仔麵
擔仔麵係由小販挑擔沿街叫賣麵食，與四川擔擔麵相同。在臺灣最早的起源在臺南沿海地區，漁家在無法出海捕魚的季節裡，挑起麵擔外出作生意貼補家用，故有度小月之稱。擔仔麵是行業的統稱，麵攤上所販賣的麵食則稱為切仔麵或拉仔麵，取其將麵條放入滾水中「切」一下或「拉」一下的動作（臺語發音）。",3
"﻿最近，阿公常會帶著大背包往外跑。每當我想跟著去，他總是搖搖頭，神祕的說：「時候未到！時候未到！」
今天，阿公居然邀請全家一起去爬山。到達山林的入口處後，我看到好幾棵高大的樹，開滿了白色花朵，一簇簇，一球球。細碎的白花隨風飛舞，輕輕落下。
「來，跟我走！」阿公指向前方，帶我們沿著步道往上走。走了一段路，過了幾個彎，視野突然變得開闊起來。放眼望去，步道、山坡層層錯落，鋪滿點點白花，",2
