source_file,title,author,segment_id,text_segment,length
下雨雞蟋蟀.txt,﻿下雨的時候,,1,下雨的時候，我喜歡站在窗口，欣賞外面的雨景。遠方的山，好像披著一件輕紗。溼答答的馬路上，車子來來往往，車燈就像天上一閃一閃的星星。行人撐起了各式各樣的雨傘，路上開滿了一朵朵五顏六色的傘花。,94
下雨雞蟋蟀.txt,﻿下雨的時候,,2,下雨的時候，我喜歡在屋簷下玩水。雨下得小，水順著屋簷一滴一滴的落下，發出「滴、滴、答、答」的聲音，好像在說著長長的故事。雨變大了，水就像一條銀色的長線，從屋頂垂掛下來。我伸手去接，一股清涼的感覺從手心傳到全身，真是舒服。,110
下雨雞蟋蟀.txt,﻿下雨的時候,,3,下雨的時候，我喜歡撐著雨傘到外面走走。我看到綠綠的青草被雨洗得亮亮的，空氣中有一股清新的味道。山坡上有一大片的黃色小花，金黃的花朵好像一隻隻黃蝴蝶，風輕輕的吹著，那些「黃蝴蝶」拍動著翅膀，好像送來了淡淡的花香。,105
下雨雞蟋蟀.txt,﻿下雨的時候,,4,下雨的時候，我總是特別想念鄉下的表哥，那時我們常穿著雨衣和雨鞋探險。雨水把泥巴路變得軟軟的，每踩一步，鞋子就會陷進裡面。雨越下越大，屋前的水溝滿起來了，我們連忙摺出彩色的紙船，看著紙船順著水流，慢慢的往遠方流去，直到再也看不到......。,120
灌蟋蟀 陳幸蕙.txt,灌蟋蟀,陳幸蕙,1,小時候，最愛和爸爸去灌蟋蟀。夏天的午後，接近傍晚，爸爸說：「要不要去灌蟋蟀？」「好哇！」我們全部跳起來，全部贊成。於是大家分頭去準備工具，工具很簡單，一把鏟子，一個水桶，幾個罐頭的空罐子就是了；當然，還要一個有蓋子的罐子，是用來裝蟋蟀的。,119
灌蟋蟀 陳幸蕙.txt,灌蟋蟀,陳幸蕙,2,我們常去的地方是學校操場邊的大樹下，或是自來水廠的木麻黃樹下。學校的蟋蟀少，蚊子少；水廠的蟋蟀多，蚊子也多，通常是爸爸走，我們就跟，小孩子沒意見，有得玩兒就好了。,81
灌蟋蟀 陳幸蕙.txt,灌蟋蟀,陳幸蕙,3,爸爸都是負責提水，我們先去尋找蟋蟀的家，蟋蟀的家上面會有一堆鬆軟的土，把土撥開，會有個洞；爸爸把水提來以後，我們就拿罐子裝水，輪流把水灌進洞裡去。我們灌水的時候，是非常小心的，要對準蟋蟀的家，免得浪費水，而且不能講話，因為一講話，蟋蟀聽到，可能就不出來了。,128
灌蟋蟀 陳幸蕙.txt,灌蟋蟀,陳幸蕙,4,通常，蟋蟀到了家門口，會停頓一下，這時候，我們會緊張的盯著牠看，深怕牠不出來，弟弟年紀小，沉不住氣，常會拿鏟子給爸爸，爸爸輕輕一挖，蟋蟀就出來了，不論蟋蟀的大小，我們都會高興了好久。有時候，從這個洞灌水，蟋蟀卻從另外一個洞跑出來，很有趣。大一點的蟋蟀有翅膀，還會飛呢！媽媽小時候住鄉下，她說，下大雨後，常有鄉人到田野去抓蟋蟀，抓很多很多，可以炒蒜頭吃，也可以油炸下酒吃。,185
灌蟋蟀 陳幸蕙.txt,灌蟋蟀,陳幸蕙,5,我們灌來的蟋蟀都養在床底下，牠們常常逃得無影無蹤，弟弟為此哭泣，爸爸就說沒關係，再灌就會有。長大以後，我們知道那種土黃色的蟋蟀叫作「台灣大蟋蟀」，另外有一種蟋蟀是黑色的，會叫又會打架，那要到草叢裡去抓，不是用水灌的。一般人養蟋蟀，都養黑蟋蟀；但是吃蟋蟀，都吃黃蟋蟀。,133
養雞 林良.txt,養雞,林良,1,小時候，家裡除了養過一隻小豬、兩條小狗以外，我們最常養的寵物是一群雞。媽媽喜歡種菜種瓜，養雞養鴨的。由於養了雞，她不喜歡養狗。好在事情總可以有個劃分，把小狗養在前庭，把小雞養在後院，牠們就井水不犯河水啦！,102
養雞 林良.txt,養雞,林良,2,一窩雞養在後院，任牠們低低的飛來飛去，咯咯咯叫個不停，既可愛又熱鬧。我常常搬個凳子坐在後院看雞，看牠們玩耍。如果媽媽叫我餵雞，我就和牠們玩遊戲，撒一點點米，牠們會搶著吃，撒很多米，牠們就吃得很快，好像要噎到了似的；如果不撒米，牠們會歪著頭，用左邊的眼睛看看你，再用右邊的眼睛看看你，傳送出一個「為什麼」的訊號來。,156
養雞 林良.txt,養雞,林良,3,記憶中，每隻母雞都很負責任，帶著小雞找食物啊，去沙堆裡洗澡啊！母雞最兇的時候，是在孵蛋時，那個時候，牠會啄人，會瞪人，還會叫個不停。這一切，都是為了保護孵化中的小雞。,83
養雞 林良.txt,養雞,林良,4,我最喜歡看小雞從蛋裡出來的情景，為了讓母雞放心，我都遠遠的蹲著。母雞看顧著十來個蛋，還「咯咯」「咯咯」的叫個不停，小雞剛出來的時候，歪歪倒倒的，站不穩，絨毛也溼溼的。可是很快，絨毛乾了，牠們會站了，會跑了，一團團的絨毛球，「嘰嘰，嘰嘰」的叫著，可愛極了！,127
養雞 林良.txt,養雞,林良,5,公雞可什麼都不管，到處吃喝玩樂，打架鬧事的，然後，又「喔喔」「喔喔」的叫著，一副很神氣的樣子。小雞漸漸長大以後，羽毛的顏色，紅的、黑的、白的、花的，五顏六色都出來了，很漂亮。母雞似乎覺得孩子該獨立了，就不准小雞跟班了，牠會啄小雞，強迫小雞離開身邊。當長大的雞不再跟媽媽，母雞就又開始要生蛋了。,146
養雞 林良.txt,養雞,林良,6,初生的蛋小小的，誰撿到了就把蛋殼洗乾淨，交給媽媽，媽媽會把蛋放進飯鍋或湯鍋裡一起煮，煮熟以後再交給幸運撿到蛋的孩子。剛煮熟的蛋剝了殼，沾一點鹽巴吃，很好吃喔！,79
